customer_key,Total_Revenue,Total_Orders,Average_Order_Value,Customer_Lifetime_Value
1,8249,3,2749.6666666666665,8249.0
2,6384,3,2128.0,6384.0
3,8114,3,2704.6666666666665,8114.0
4,8139,3,2713.0,8139.0
5,8196,3,2732.0,8196.0
6,8121,3,2707.0,8121.0
7,8119,3,2706.3333333333335,8119.0
8,8211,3,2737.0,8211.0
9,8106,3,2702.0,8106.0
10,8091,3,2697.0,8091.0
11,8088,3,2696.0,8088.0
12,8133,3,2711.0,8133.0
13,81,2,40.5,81.0
14,114,2,57.0,114.0
15,138,2,69.0,138.0
16,2501,1,2501.0,2501.0
17,2332,1,2332.0,2332.0
18,6434,3,2144.6666666666665,6434.0
19,6533,3,2177.6666666666665,6533.0
20,880,17,51.76470588235294,880.0
21,2317,1,2317.0,2317.0
22,2372,1,2372.0,2372.0
23,2322,1,2322.0,2322.0
24,122,2,61.0,122.0
25,56,2,28.0,56.0
26,6577,3,2192.3333333333335,6577.0
27,6575,3,2191.6666666666665,6575.0
28,6591,3,2197.0,6591.0
29,6474,3,2158.0,6474.0
30,6565,3,2188.3333333333335,6565.0
31,6471,3,2157.0,6471.0
32,6478,3,2159.3333333333335,6478.0
33,6525,3,2175.0,6525.0
34,6495,3,2165.0,6495.0
35,6491,3,2163.6666666666665,6491.0
36,6451,3,2150.3333333333335,6451.0
37,2355,1,2355.0,2355.0
38,2374,1,2374.0,2374.0
39,6437,3,2145.6666666666665,6437.0
40,6636,3,2212.0,6636.0
41,2351,1,2351.0,2351.0
42,2381,1,2381.0,2381.0
43,3112,2,1556.0,3112.0
44,48,2,24.0,48.0
45,6515,3,2171.6666666666665,6515.0
46,115,2,57.5,115.0
47,6616,3,2205.3333333333335,6616.0
48,6582,3,2194.0,6582.0
49,6498,3,2166.0,6498.0
50,81,2,40.5,81.0
51,5007,3,1669.0,5007.0
52,124,2,62.0,124.0
53,8131,3,2710.3333333333335,8131.0
54,2330,1,2330.0,2330.0
55,8223,3,2741.0,8223.0
56,8168,3,2722.6666666666665,8168.0
57,8207,3,2735.6666666666665,8207.0
58,8088,3,2696.0,8088.0
59,8248,3,2749.3333333333335,8248.0
60,117,3,39.0,117.0
61,8153,3,2717.6666666666665,8153.0
62,8129,3,2709.6666666666665,8129.0
63,2352,1,2352.0,2352.0
64,2373,1,2373.0,2373.0
65,2305,1,2305.0,2305.0
66,202,2,101.0,202.0
67,81,2,40.5,81.0
68,105,2,52.5,105.0
69,113,3,37.666666666666664,113.0
70,8104,3,2701.3333333333335,8104.0
71,8165,3,2721.6666666666665,8165.0
72,110,3,36.666666666666664,110.0
73,8194,3,2731.3333333333335,8194.0
74,192,3,64.0,192.0
75,94,3,31.333333333333332,94.0
76,8068,3,2689.3333333333335,8068.0
77,8159,3,2719.6666666666665,8159.0
78,8169,3,2723.0,8169.0
79,912,17,53.64705882352941,912.0
80,58,3,19.333333333333332,58.0
81,8204,3,2734.6666666666665,8204.0
82,104,2,52.0,104.0
83,3110,2,1555.0,3110.0
84,3137,2,1568.5,3137.0
85,3078,2,1539.0,3078.0
86,129,2,64.5,129.0
87,153,2,76.5,153.0
88,200,2,100.0,200.0
89,3176,2,1588.0,3176.0
90,3188,2,1594.0,3188.0
91,6703,3,2234.3333333333335,6703.0
92,1186,28,42.357142857142854,1186.0
93,8110,3,2703.3333333333335,8110.0
94,8180,3,2726.6666666666665,8180.0
95,236,3,78.66666666666667,236.0
96,8158,3,2719.3333333333335,8158.0
97,8063,3,2687.6666666666665,8063.0
98,8099,3,2699.6666666666665,8099.0
99,89,3,29.666666666666668,89.0
100,8216,3,2738.6666666666665,8216.0
101,8172,3,2724.0,8172.0
102,8262,3,2754.0,8262.0
103,103,3,34.333333333333336,103.0
104,8182,3,2727.3333333333335,8182.0
105,8173,3,2724.3333333333335,8173.0
106,8096,3,2698.6666666666665,8096.0
107,8079,3,2693.0,8079.0
108,8171,3,2723.6666666666665,8171.0
109,8124,3,2708.0,8124.0
110,8245,3,2748.3333333333335,8245.0
111,8093,3,2697.6666666666665,8093.0
112,8137,3,2712.3333333333335,8137.0
113,8295,3,2765.0,8295.0
114,110,3,36.666666666666664,110.0
115,123,3,41.0,123.0
116,114,3,38.0,114.0
117,149,3,49.666666666666664,149.0
118,8185,3,2728.3333333333335,8185.0
119,124,3,41.333333333333336,124.0
120,85,2,42.5,85.0
121,8242,3,2747.3333333333335,8242.0
122,58,3,19.333333333333332,58.0
123,43,3,14.333333333333334,43.0
124,150,3,50.0,150.0
125,8129,3,2709.6666666666665,8129.0
126,79,3,26.333333333333332,79.0
127,4971,3,1657.0,4971.0
128,44,2,22.0,44.0
129,144,2,72.0,144.0
130,5873,2,2936.5,5873.0
131,37,1,37.0,37.0
132,166,5,33.2,166.0
133,2372,1,2372.0,2372.0
134,72,1,72.0,72.0
135,4911,3,1637.0,4911.0
136,2335,1,2335.0,2335.0
137,2381,1,2381.0,2381.0
138,202,2,101.0,202.0
139,79,2,39.5,79.0
140,84,2,42.0,84.0
141,40,1,40.0,40.0
142,114,2,57.0,114.0
143,979,17,57.588235294117645,979.0
144,48,2,24.0,48.0
145,2400,1,2400.0,2400.0
146,2310,1,2310.0,2310.0
147,113,3,37.666666666666664,113.0
148,8195,3,2731.6666666666665,8195.0
149,126,3,42.0,126.0
150,41,3,13.666666666666666,41.0
151,192,3,64.0,192.0
152,8087,3,2695.6666666666665,8087.0
153,2295,1,2295.0,2295.0
154,110,2,55.0,110.0
155,2320,1,2320.0,2320.0
156,2320,1,2320.0,2320.0
157,2390,1,2390.0,2390.0
158,41,2,20.5,41.0
159,2396,1,2396.0,2396.0
160,48,2,24.0,48.0
161,2322,1,2322.0,2322.0
162,94,2,47.0,94.0
163,2330,1,2330.0,2330.0
164,46,2,23.0,46.0
165,145,2,72.5,145.0
166,103,2,51.5,103.0
167,88,2,44.0,88.0
168,3126,2,1563.0,3126.0
169,3136,2,1568.0,3136.0
170,81,2,40.5,81.0
171,157,2,78.5,157.0
172,6716,3,2238.6666666666665,6716.0
173,129,2,64.5,129.0
174,103,2,51.5,103.0
175,48,2,24.0,48.0
176,6710,3,2236.6666666666665,6710.0
177,1317,28,47.035714285714285,1317.0
178,135,2,67.5,135.0
179,145,2,72.5,145.0
180,125,2,62.5,125.0
181,138,2,69.0,138.0
182,41,2,20.5,41.0
183,81,2,40.5,81.0
184,46,2,23.0,46.0
185,68,2,34.0,68.0
186,1616,27,59.851851851851855,1616.0
187,41,2,20.5,41.0
188,108,2,54.0,108.0
189,81,2,40.5,81.0
190,5944,2,2972.0,5944.0
191,46,2,23.0,46.0
192,6743,3,2247.6666666666665,6743.0
193,114,2,57.0,114.0
194,41,2,20.5,41.0
195,105,2,52.5,105.0
196,105,2,52.5,105.0
197,162,2,81.0,162.0
198,207,2,103.5,207.0
199,98,2,49.0,98.0
200,132,2,66.0,132.0
201,1461,27,54.111111111111114,1461.0
202,181,2,90.5,181.0
203,74,2,37.0,74.0
204,800,17,47.05882352941177,800.0
205,77,2,38.5,77.0
206,37,2,18.5,37.0
207,77,2,38.5,77.0
208,77,2,38.5,77.0
209,134,2,67.0,134.0
210,37,2,18.5,37.0
211,70,2,35.0,70.0
212,792,17,46.588235294117645,792.0
213,824,17,48.470588235294116,824.0
214,77,2,38.5,77.0
215,162,2,81.0,162.0
216,1154,17,67.88235294117646,1154.0
217,5948,2,2974.0,5948.0
218,5953,2,2976.5,5953.0
219,39,2,19.5,39.0
220,39,2,19.5,39.0
221,50,2,25.0,50.0
222,46,2,23.0,46.0
223,208,2,104.0,208.0
224,1293,27,47.888888888888886,1293.0
225,6685,3,2228.3333333333335,6685.0
226,73,2,36.5,73.0
227,37,2,18.5,37.0
228,5910,2,2955.0,5910.0
229,77,2,38.5,77.0
230,81,2,40.5,81.0
231,54,2,27.0,54.0
232,64,2,32.0,64.0
233,39,2,19.5,39.0
234,179,2,89.5,179.0
235,76,2,38.0,76.0
236,138,2,69.0,138.0
237,114,2,57.0,114.0
238,10566,4,2641.5,10566.0
239,7543,4,1885.75,7543.0
240,7511,4,1877.75,7511.0
241,7586,4,1896.5,7586.0
242,11468,7,1638.2857142857142,11468.0
