customer_key,Recency,Frequency,Monetary
1,270.0,3,8249
2,49.0,3,6384
3,339.0,3,8114
4,263.0,3,8139
5,272.0,3,8196
6,271.0,3,8121
7,259.0,3,8119
8,315.0,3,8211
9,332.0,3,8106
10,264.0,3,8091
11,250.0,3,8088
12,315.0,3,8133
13,105.0,2,81
14,7.0,2,114
15,273.0,2,138
16,375.0,1,2501
17,353.0,1,2332
18,106.0,3,6434
19,96.0,3,6533
20,16.0,17,880
21,395.0,1,2317
22,370.0,1,2372
23,373.0,1,2322
24,14.0,2,122
25,186.0,2,56
26,95.0,3,6577
27,105.0,3,6575
28,96.0,3,6591
29,113.0,3,6474
30,78.0,3,6565
31,80.0,3,6471
32,76.0,3,6478
33,81.0,3,6525
34,84.0,3,6495
35,79.0,3,6491
36,74.0,3,6451
37,371.0,1,2355
38,373.0,1,2374
39,77.0,3,6437
40,78.0,3,6636
41,300.0,1,2351
42,379.0,1,2381
43,103.0,2,3112
44,163.0,2,48
45,81.0,3,6515
46,91.0,2,115
47,77.0,3,6616
48,70.0,3,6582
49,34.0,3,6498
50,91.0,2,81
51,70.0,3,5007
52,27.0,2,124
53,246.0,3,8131
54,376.0,1,2330
55,243.0,3,8223
56,235.0,3,8168
57,242.0,3,8207
58,252.0,3,8088
59,238.0,3,8248
60,318.0,3,117
61,217.0,3,8153
62,228.0,3,8129
63,386.0,1,2352
64,381.0,1,2373
65,368.0,1,2305
66,18.0,2,202
67,131.0,2,81
68,16.0,2,105
69,112.0,3,113
70,238.0,3,8104
71,216.0,3,8165
72,58.0,3,110
73,227.0,3,8194
74,160.0,3,192
75,246.0,3,94
76,218.0,3,8068
77,221.0,3,8159
78,230.0,3,8169
79,0.0,17,912
80,27.0,3,58
81,219.0,3,8204
82,290.0,2,104
83,83.0,2,3110
84,81.0,2,3137
85,68.0,2,3078
86,20.0,2,129
87,38.0,2,153
88,172.0,2,200
89,77.0,2,3176
90,71.0,2,3188
91,68.0,3,6703
92,20.0,28,1186
93,221.0,3,8110
94,234.0,3,8180
95,17.0,3,236
96,217.0,3,8158
97,182.0,3,8063
98,188.0,3,8099
99,104.0,3,89
100,211.0,3,8216
101,174.0,3,8172
102,213.0,3,8262
103,50.0,3,103
104,236.0,3,8182
105,227.0,3,8173
106,237.0,3,8096
107,227.0,3,8079
108,221.0,3,8171
109,219.0,3,8124
110,218.0,3,8245
111,161.0,3,8093
112,159.0,3,8137
113,148.0,3,8295
114,282.0,3,110
115,33.0,3,123
116,26.0,3,114
117,104.0,3,149
118,217.0,3,8185
