customer_key,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score
1,270.0,3,8249,2,5,5,2.055
2,49.0,3,6384,5,5,5,5.055
3,339.0,3,8114,1,5,5,1.055
4,263.0,3,8139,2,5,5,2.055
5,272.0,3,8196,2,5,5,2.055
6,271.0,3,8121,2,5,5,2.055
7,259.0,3,8119,2,5,5,2.055
8,315.0,3,8211,1,5,5,1.055
9,332.0,3,8106,1,5,5,1.055
10,264.0,3,8091,2,5,5,2.055
11,250.0,3,8088,2,5,5,2.055
12,315.0,3,8133,1,5,5,1.055
13,105.0,2,81,4,4,2,4.042
14,7.0,2,114,5,4,3,5.043
15,273.0,2,138,2,4,3,2.043
16,375.0,1,2501,1,1,4,1.014
17,353.0,1,2332,1,1,4,1.014
18,106.0,3,6434,4,5,5,4.055
19,96.0,3,6533,4,5,5,4.055
20,16.0,17,880,5,5,3,5.053
21,395.0,1,2317,1,1,4,1.014
22,370.0,1,2372,1,1,4,1.014
23,373.0,1,2322,1,1,4,1.014
24,14.0,2,122,5,4,3,5.043
25,186.0,2,56,3,4,2,3.042
26,95.0,3,6577,4,5,5,4.055
27,105.0,3,6575,4,5,5,4.055
28,96.0,3,6591,4,5,5,4.055
29,113.0,3,6474,4,5,5,4.055
30,78.0,3,6565,4,5,5,4.055
31,80.0,3,6471,4,5,5,4.055
32,76.0,3,6478,4,5,5,4.055
33,81.0,3,6525,4,5,5,4.055
34,84.0,3,6495,4,5,5,4.055
35,79.0,3,6491,4,5,5,4.055
36,74.0,3,6451,4,5,5,4.055
37,371.0,1,2355,1,1,4,1.014
38,373.0,1,2374,1,1,4,1.014
39,77.0,3,6437,4,5,5,4.055
40,78.0,3,6636,4,5,5,4.055
41,300.0,1,2351,1,1,4,1.014
42,379.0,1,2381,1,1,4,1.014
43,103.0,2,3112,4,4,4,4.044
44,163.0,2,48,3,4,2,3.042
45,81.0,3,6515,4,5,5,4.055
46,91.0,2,115,4,4,3,4.043
47,77.0,3,6616,4,5,5,4.055
48,70.0,3,6582,5,5,5,5.055
49,34.0,3,6498,5,5,5,5.055
50,91.0,2,81,4,4,2,4.042
51,70.0,3,5007,5,5,5,5.055
52,27.0,2,124,5,4,3,5.043
53,246.0,3,8131,2,5,5,2.055
54,376.0,1,2330,1,1,4,1.014
55,243.0,3,8223,2,5,5,2.055
56,235.0,3,8168,2,5,5,2.055
57,242.0,3,8207,2,5,5,2.055
58,252.0,3,8088,2,5,5,2.055
59,238.0,3,8248,2,5,5,2.055
60,318.0,3,117,1,5,3,1.053
61,217.0,3,8153,2,5,5,2.055
62,228.0,3,8129,2,5,5,2.055
63,386.0,1,2352,1,1,4,1.014
64,381.0,1,2373,1,1,4,1.014
65,368.0,1,2305,1,1,4,1.014
66,18.0,2,202,5,4,3,5.043
67,131.0,2,81,4,4,2,4.042
68,16.0,2,105,5,4,3,5.043
69,112.0,3,113,4,5,3,4.053
70,238.0,3,8104,2,5,5,2.055
