customer_key,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment
1,270.0,3,8249,2,5,5,255,At Risk
2,49.0,3,6384,5,5,5,555,Champions
3,339.0,3,8114,1,5,5,155,At Risk
4,263.0,3,8139,2,5,5,255,At Risk
5,272.0,3,8196,2,5,5,255,At Risk
6,271.0,3,8121,2,5,5,255,At Risk
7,259.0,3,8119,2,5,5,255,At Risk
8,315.0,3,8211,1,5,5,155,At Risk
9,332.0,3,8106,1,5,5,155,At Risk
10,264.0,3,8091,2,5,5,255,At Risk
11,250.0,3,8088,2,5,5,255,At Risk
12,315.0,3,8133,1,5,5,155,At Risk
13,105.0,2,81,4,4,2,442,Loyal Customers
14,7.0,2,114,5,4,3,543,Loyal Customers
15,273.0,2,138,2,4,3,243,At Risk
16,375.0,1,2501,1,1,4,114,Lost Customers
17,353.0,1,2332,1,1,4,114,Lost Customers
18,106.0,3,6434,4,5,5,455,Champions
19,96.0,3,6533,4,5,5,455,Champions
20,16.0,17,880,5,5,3,553,Loyal Customers
21,395.0,1,2317,1,1,4,114,Lost Customers
22,370.0,1,2372,1,1,4,114,Lost Customers
23,373.0,1,2322,1,1,4,114,Lost Customers
24,14.0,2,122,5,4,3,543,Loyal Customers
25,186.0,2,56,3,4,2,342,Loyal Customers
26,95.0,3,6577,4,5,5,455,Champions
27,105.0,3,6575,4,5,5,455,Champions
28,96.0,3,6591,4,5,5,455,Champions
29,113.0,3,6474,4,5,5,455,Champions
30,78.0,3,6565,4,5,5,455,Champions
31,80.0,3,6471,4,5,5,455,Champions
32,76.0,3,6478,4,5,5,455,Champions
33,81.0,3,6525,4,5,5,455,Champions
34,84.0,3,6495,4,5,5,455,Champions
35,79.0,3,6491,4,5,5,455,Champions
36,74.0,3,6451,4,5,5,455,Champions
37,371.0,1,2355,1,1,4,114,Lost Customers
38,373.0,1,2374,1,1,4,114,Lost Customers
39,77.0,3,6437,4,5,5,455,Champions
40,78.0,3,6636,4,5,5,455,Champions
41,300.0,1,2351,1,1,4,114,Lost Customers
42,379.0,1,2381,1,1,4,114,Lost Customers
43,103.0,2,3112,4,4,4,444,Champions
44,163.0,2,48,3,4,2,342,Loyal Customers
45,81.0,3,6515,4,5,5,455,Champions
46,91.0,2,115,4,4,3,443,Loyal Customers
47,77.0,3,6616,4,5,5,455,Champions
48,70.0,3,6582,5,5,5,555,Champions
