customer_key,Recency,Frequency,Monetary,Cluster
1,270.0,3,8249,3
2,49.0,3,6384,3
3,339.0,3,8114,3
4,263.0,3,8139,3
5,272.0,3,8196,3
6,271.0,3,8121,3
7,259.0,3,8119,3
8,315.0,3,8211,3
9,332.0,3,8106,3
10,264.0,3,8091,3
11,250.0,3,8088,3
12,315.0,3,8133,3
13,105.0,2,81,1
14,7.0,2,114,1
15,273.0,2,138,1
16,375.0,1,2501,1
17,353.0,1,2332,1
18,106.0,3,6434,3
19,96.0,3,6533,3
20,16.0,17,880,2
21,395.0,1,2317,1
22,370.0,1,2372,1
23,373.0,1,2322,1
24,14.0,2,122,1
25,186.0,2,56,1
26,95.0,3,6577,3
27,105.0,3,6575,3
28,96.0,3,6591,3
29,113.0,3,6474,3
30,78.0,3,6565,3
31,80.0,3,6471,3
32,76.0,3,6478,3
33,81.0,3,6525,3
34,84.0,3,6495,3
35,79.0,3,6491,3
36,74.0,3,6451,3
37,371.0,1,2355,1
38,373.0,1,2374,1
39,77.0,3,6437,3
40,78.0,3,6636,3
41,300.0,1,2351,1
42,379.0,1,2381,1
43,103.0,2,3112,3
44,163.0,2,48,1
45,81.0,3,6515,3
46,91.0,2,115,1
47,77.0,3,6616,3
48,70.0,3,6582,3
49,34.0,3,6498,3
50,91.0,2,81,1
51,70.0,3,5007,3
52,27.0,2,124,1
53,246.0,3,8131,3
54,376.0,1,2330,1
55,243.0,3,8223,3
56,235.0,3,8168,3
57,242.0,3,8207,3
58,252.0,3,8088,3
59,238.0,3,8248,3
60,318.0,3,117,1
61,217.0,3,8153,3
62,228.0,3,8129,3
63,386.0,1,2352,1
64,381.0,1,2373,1
65,368.0,1,2305,1
66,18.0,2,202,1
67,131.0,2,81,1
68,16.0,2,105,1
69,112.0,3,113,1
70,238.0,3,8104,3
71,216.0,3,8165,3
72,58.0,3,110,1
73,227.0,3,8194,3
74,160.0,3,192,1
75,246.0,3,94,1
76,218.0,3,8068,3
77,221.0,3,8159,3
78,230.0,3,8169,3
79,0.0,17,912,2
80,27.0,3,58,1
81,219.0,3,8204,3
82,290.0,2,104,1
83,83.0,2,3110,3
84,81.0,2,3137,3
85,68.0,2,3078,3
86,20.0,2,129,1
87,38.0,2,153,1
88,172.0,2,200,1
89,77.0,2,3176,3
90,71.0,2,3188,3
91,68.0,3,6703,3
92,20.0,28,1186,2
93,221.0,3,8110,3
94,234.0,3,8180,3
95,17.0,3,236,1
96,217.0,3,8158,3
97,182.0,3,8063,3
